"","","","","","","","Average Monthly Prices of 53 Items for the month of October 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 17 Sep 17 Oct 16","","","%change Oct 17 over
Sep 17 Oct 16",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","15.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","11.0","10.93","10.59","0.64","3.87"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","232.5","250.0","220.0","237.5","280.0","225.0","225.0","295.48","265.0","250.0","236.25","241.67","241.88","310.0","300.0","256.73","258.46","279.15","-0.67","-8.03"
"29.0","Garlic","1 Kg","222.19","170.42","150.0","152.5","173.49","160.0","147.5","155.0","165.0","182.41","160.94","147.5","142.5","182.5","190.0","207.5","186.25","170.34","187.37","293.07","-9.09","-41.88"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.95","178.95","178.94","178.95","179.0","178.95","179.0","178.95","178.94","178.94","178.94","178.95","205.06","178.94","178.94","180.49","182.42","157.9","-1.06","14.31"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","66.88","62.5","102.86","75.0","100.0","80.0","110.0","93.08","77.5","100.0","100.0","120.0","101.25","90.0","140.0","95.93","95.59","91.93","0.36","4.35"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","55.0","50.0","40.0","60.0","61.15","52.5","50.0","65.0","60.0","50.0","65.0","80.0","58.27","58.27","56.69","0.0","2.79"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","21.19","21.19","19.87","0.0","6.64"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","50.76","64.18","0.0","-20.91"
"35.0","Long Cloth, 57"", (SN)","1 mtr","215.0","205.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","170.77","240.0","230.0","200.0","333.33","157.5","210.0","195.0","212.3","212.3","205.57","0.0","3.27"
"36.0","Shirting, (AQ), (SN)","1 mtr","206.25","190.0","175.0","175.0","155.0","125.0","150.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","169.55","169.55","164.3","0.0","3.2"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.68","125.68","123.54","0.0","1.73"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","100.0","97.5","80.0","81.0","100.0","73.0","80.0","75.0","87.5","102.88","81.0","74.0","90.0","92.67","90.0","60.0","50.0","83.21","78.88","77.05","5.49","7.99"
"45.0","Firewood Whole","40 Kg","787.5","741.67","681.25","650.0","762.86","600.0","500.0","650.0","625.0","648.08","550.0","400.0","450.0","720.83","500.0","650.0","500.0","612.78","609.11","598.05","0.6","2.46"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","178.75","165.0","175.0","170.0","200.0","155.0","178.75","180.0","160.0","180.0","150.0","168.82","168.24","167.79","0.34","0.61"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.91","0.0","0.0"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.21","2.21","2.09","0.0","5.74"
"49.0","Petrol, Super","1 Ltr","73.76","73.76","73.89","74.9","73.86","73.7","73.99","73.98","74.85","73.76","74.3","73.77","74.1","73.77","76.1","73.8","75.9","74.25","72.24","65.13","2.78","14.0"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","79.69","79.69","79.83","80.9","79.76","79.7","79.95","79.99","81.0","79.69","80.3","79.69","80.1","79.7","82.1","79.71","82.5","80.25","78.27","73.45","2.53","9.26"
"51.0","LPG Cylinder, 11kg","Each","1320.0","1300.0","1141.25","1265.0","1134.38","1250.0","1187.5","1187.5","1210.0","1127.5","1210.0","1210.0","1320.0","1320.0","1232.5","1293.75 1100.00","","1224.08 1181.10 1076.54","","","3.64","13.71"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","40.0","42.0","40.0","42.0","42.0","41.76","41.76","36.82","0.0","13.42"
