"","","","","","","","Average Monthly Prices of 53 Essential Items for the Month of July 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
July 17 June 17 July 16","","","%change July 17 over
June 17 July 16",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.71","10.47","0.0","2.29"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","250.0","220.0","268.75","288.75","238.54","225.0","295.48","265.0","250.0","240.0","242.92","274.69","310.0","300.0","262.55","263.54","279.32","-0.38","-6.0"
"29.0","Garlic","1 Kg","256.1","213.33","223.75","207.5","215.18","192.5","150.0","195.0","185.0","205.39","166.25","170.0","160.0","187.92","276.25","215.0","225.0","202.6","212.3","227.62","-4.57","-10.99"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.0","205.26","205.26","178.94","203.7","203.7","157.9","0.0","29.01"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","75.0","92.69","77.5","100.0","100.0","120.0","100.0","90.0","140.0","93.51","93.51","91.06","0.0","2.69"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","52.5","50.0","65.0","60.0","50.0","65.0","80.0","56.94","56.94","55.52","0.0","2.56"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","18.75","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","20.97","20.75","19.63","1.06","6.83"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","56.52","63.71","-10.19","-20.33"
"35.0","Long Cloth, 57"", (SN)","1 mtr","215.0","205.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","170.77","240.0","230.0","200.0","333.33","157.5","210.0","195.0","212.3","209.97","205.57","1.11","3.27"
"36.0","Shirting, (AQ), (SN)","1 mtr","206.25","190.0","175.0","175.0","155.0","125.0","145.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","169.26","168.06","164.3","0.71","3.02"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","135.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.38","125.22","123.54","0.13","1.49"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.33","0.0","0.29"
