"5/2/2014 3:20 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Apr 14 Mar 14 Apr 13","","","%change Apr 14 over
Mar 14 Apr 13",""
"1.0","Wheat","10 kg","397.5","397.5","386.2","385.5","375.5","335.15","372.5","346.5","328.13","374.0","338.0","361.0","372.5","404.0","376.0","440.0","412.0","376.59","404.03","334.79","-6.79","12.49"
"2.0","Wheat Flour, Bag","10 kg","399.13","399.73","395.5","394.0","394.6","396.5","405.75","396.5","411.8","443.08","419.42","411.0","399.5","427.33","437.0","475.0","468.0","416.11","435.57","366.15","-4.47","13.64"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","69.5","70.0","76.79","81.25","67.5","77.5","62.5","76.54","75.79","75.0","80.0","78.33","52.5","90.0","60.0","74.13","74.01","70.53","0.16","5.1"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","55.0","41.0","52.5","57.54","50.0","52.5","32.5","48.44","77.5","45.0","55.0","54.32","54.26","50.87","0.11","6.78"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","43.2","50.0","38.0","35.0","35.0","37.5","35.0","40.51","40.32","35.46","0.47","14.24"
"6.0","Beef With Bone, Average quality","1 kg","310.0","300.0","280.0","280.0","318.93","275.0","265.0","275.0","265.0","329.23","293.16","290.0","280.0","270.0","264.0","310.0","300.0","288.55","288.27","268.99","0.1","7.27"
"7.0","Mutton, Average Quality","1 kg","641.5","626.67","600.0","600.0","640.36","600.0","500.0","570.0","562.5","629.23","550.0","510.0","565.0","581.33","480.0","550.0","500.0","570.98","568.14","520.59","0.5","9.68"
"8.0","Chicken Farm, Broiler, Live","1 kg","168.58","157.88","152.2","157.0","149.16","155.0","157.0","161.5","155.6","194.77","184.67","178.0","173.0","168.4","172.6","175.0","215.0","169.14","166.19","130.46","1.78","29.65"
"9.0","Milk, Fresh, Unboiled","1 Ltr","84.38","76.88","71.0","60.0","60.54","67.5","60.0","70.83","60.0","80.58","77.74","70.0","80.0","66.75","70.0","85.0","80.0","71.84","69.44","65.6","3.46","9.51"
"10.0","Curd (Dahi)","1 kg","98.13","84.5","81.0","70.0","70.0","75.0","70.0","80.0","66.0","110.83","101.54","80.0","95.0","77.34","80.0","100.0","80.0","83.49","81.79","75.85","2.08","10.07"
"11.0","Powdered Milk, Nido, Polybag","400 gm","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","324.71","290.0","0.09","12.07"
"12.0","Eggs Hen, Farm","Dozen","84.28","77.57","82.5","82.0","75.89","84.6","77.6","78.5","76.0","77.92","80.2","82.0","96.0","88.97","90.0","106.0","133.0","86.65","114.73","88.61","-24.47","-2.21"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","160.0","156.0","188.93","187.5","190.0","172.5","166.0","173.08","160.0","139.0","200.0","221.67","177.0","190.0","190.0","184.95","187.36","187.06","-1.29","-1.13"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","540.0","540.0","545.0","545.0","535.0","535.0","545.0","540.0","540.0","535.0","545.0","545.0","530.0","540.0","540.0","535.0","550.0","540.29","540.15","527.79","0.03","2.37"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 kg","510.0","510.0","505.0","505.0","505.0","505.0","510.0","510.0","510.0","520.0","505.0","525.0","520.0","510.0","510.0","530.0","550.0","514.12","514.12","505.0","0.0","1.81"
"16.0","Vegetable Ghee (Loose)","1 kg","168.75","163.08","154.0","154.0","162.86","153.35","155.4","167.2","167.5","161.54","160.0","160.0","145.0","173.75","157.5","200.0","170.0","163.17","165.0","157.88","-1.11","3.35"
"17.0","Bananas","Dozen","159.13","114.83","82.5","86.0","83.32","58.25","55.0","82.5","59.5","65.69","51.58","39.0","43.0","70.33","68.0","65.0","69.5","73.71","68.25","62.84","8.0","17.3"
"18.0","Pulse Masoor, Washed","1 kg","141.25","131.28","150.0","122.0","157.32","147.2","139.0","119.0","118.0","116.08","115.33","130.0","104.0","113.63","120.0","132.5","105.0","127.15","128.23","100.42","-0.84","26.62"
"19.0","Pulse Moong, Washed","1 kg","163.13","149.25","140.0","150.0","157.75","147.2","145.0","151.67","155.0","155.08","154.75","155.0","150.5","132.75","136.0","154.0","139.0","149.18","146.5","114.12","1.83","30.72"
"20.0","Pulse Mash, Washed","1 kg","150.0","136.04","150.0","148.0","143.57","143.75","133.0","122.5","125.0","125.08","121.33","135.0","118.5","121.0","122.5","150.0","134.0","134.07","133.95","130.74","0.09","2.55"
"21.0","Pulse Gram, Washed","1 kg","88.75","75.83","67.5","64.8","67.16","66.75","61.4","68.77","69.5","76.54","72.67","75.0","76.0","76.33","70.0","104.0","100.0","75.35","76.6","95.52","-1.63","-21.12"
"22.0","Potatoes","1 kg","66.88","62.91","57.0","62.5","58.0","57.0","54.5","55.23","52.4","53.08","55.5","50.0","52.0","61.17","57.5","51.0","55.0","56.57","43.2","20.77","30.95","172.36"
"23.0","Onions","1 kg","52.94","47.67","33.0","46.0","40.07","35.5","32.5","29.83","32.5","34.08","31.58","29.5","30.0","44.17","31.5","38.0","35.0","36.7","33.15","44.15","10.71","-16.87"
"24.0","Tomatoes","1 kg","59.13","50.08","43.5","45.0","41.75","39.75","34.5","32.3","32.5","29.77","20.38","25.5","27.0","41.41","32.5","39.0","40.9","37.35","53.43","56.18","-30.1","-33.52"
"25.0","Sugar, Refined","1 kg","59.13","53.85","52.0","52.6","54.26","52.25","51.7","51.1","50.8","54.22","51.8","50.6","50.8","53.51","52.2","52.2","51.2","52.6","53.35","52.71","-1.41","-0.21"
"26.0","Gur, Average Quality","1 kg","105.0","90.83","78.2","77.5","78.93","77.5","73.0","67.5","65.5","88.08","75.34","62.5","64.5","84.33","81.5","85.0","84.0","78.78","78.43","72.42","0.45","8.78"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","10.0","9.0","10.0","8.0","10.0","9.0","10.0","12.0","10.0","8.5","10.0","10.0","7.8","10.0","10.0","9.65","9.51","8.9","1.47","8.43"
"28.0","Red Chilly Powder, Loose","1 kg","248.75","233.33","200.0","216.0","207.86","215.0","220.0","230.0","190.0","292.15","240.0","230.0","191.0","201.67","215.0","290.0","200.0","224.75","223.24","232.51","0.68","-3.34"
"29.0","Garlic","1 kg","178.25","155.75","108.5","135.0","144.78","121.5","108.0","127.33","128.0","149.08","142.0","124.0","117.0","135.5","143.0","148.0","125.0","134.75","145.66","136.9","-7.49","-1.57"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","138.11","138.11","138.11","138.11","147.37","138.11","138.11","147.37","138.11","147.37","145.9","147.37","145.9","138.11","145.9","147.37","147.37","142.75","147.37","156.19","-3.13","-8.6"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","80.0","70.0","65.0","69.54","61.59","100.0","70.0","104.67","84.0","80.0","140.0","80.31","79.61","70.64","0.88","13.69"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","32.5","48.62","40.0","50.0","60.0","60.0","45.0","60.0","50.0","46.28","46.16","40.55","0.26","14.13"
