"","","","","","","","Average Monthly Prices of 53 Items for the month of September 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Sep 17 Aug 17 Sep 16","","","%change Sep 17 over
Aug 17 Sep 16",""
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.68","125.56","123.54","0.1","1.73"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","95.0","69.0","75.0","70.0","71.0","97.12","81.0","69.5","90.0","86.67","85.0","56.0","50.0","78.88","78.88","77.05","0.0","2.38"
"45.0","Firewood Whole","40 Kg","787.5","741.67","675.0","650.0","762.86","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","715.63","496.25","650.0","500.0","609.11","609.09","597.49","0.0","1.94"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","197.5","155.0","175.0","180.0","160.0","180.0","150.0","168.24","167.79","167.79","0.27","0.27"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.62","0.0","1.13"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.21","2.21","2.09","0.0","5.74"
"49.0","Petrol, Super","1 Ltr","71.76","71.76","71.89","72.9","71.86","71.77","71.99","71.98","72.9","71.76","72.18","71.7","72.1","71.77","74.1","71.8","73.9","72.24","70.62","65.12","2.29","10.93"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","77.7","77.7","77.85","78.9","77.76","77.7","77.98","77.99","79.1","77.7","78.32","77.7","78.1","77.7","80.1","77.71","80.5","78.27","78.77","73.45","-0.63","6.56"
"51.0","LPG Cylinder, 11kg","Each","1247.5","1227.5","1127.5","1210.0","1127.5","1225.0","1137.5","1137.5","1210.0","1100.0","1210.0","1210.0","1292.5","1210.0","1143.75","1175.00 1087.50","","1181.10 1127.32","","995.76","4.77","18.61"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","40.0","42.0","40.0","42.0","42.0","41.76","41.65","36.82","0.26","13.42"
